original_price,discount_original_price,discount_final_price,release_date,reviews,item_id,genre
US$29.99 ,0,0,  Feb 16  2012,  [Very Positive- Very Positive],108710,  [Action- Horror- Adventure- Third Person- Story Rich- Atmospheric- Singleplayer- Psychological Horror- Thriller- Great Soundtrack- Episodic- Mystery- Third-Person Shooter- Dark- Survival Horror- Cinematic- Supernatural- Narration- Shooter- Survival]
Free To Play,0,0,  Sep 1  2016,  [Mixed],452780,  [Early Access- Free to Play- Casual- RPG- Clicker- Multiplayer]
US$14.99 ,0,0,  Mar 18  2016,  [Mostly Positive],368150,  [Adventure- Indie- Casual- Anime- Visual Novel]
US$0.99 ,0,US$12.51 ,  Jan 26  2016,  [Mixed],418610,  [Action- Indie- Platformer]
US$9.99 ,0,0,  Jun 6  2014,  [Very Positive],285840,  [Action- Indie- Shoot 'Em Up- Space- Shooter- Retro- Local Co-Op- Pixel Graphics- Arcade- Side Scroller- Multiplayer]
US$2.99 ,0,US$332.27 ,  Dec 3  2015,  [Positive],415431,  [Adventure- Indie]
US$1.99 ,0,0,  Mar 27  2014,  [Mostly Positive],269810,  [Indie- Platformer- Adventure- Action- Atmospheric- Surreal- Steampunk- Short- Horror]
US$7.99 ,0,0,  Sep 9  2009,  [Very Positive],303680,  [RPG- Action- Adventure- Action RPG- Dungeon Crawler]
US$0.99 ,0,0,  Aug 30  2012,  [Mixed],380580,  [Indie- Adventure- Action- Fantasy- Psychological Horror]
US$1.99 ,0,US$12.51 ,  May 22  2015,  [Mostly Positive],371330,  [Casual- Indie- Puzzle]
US$14.99 ,0,US$97.43 ,  Apr 29  2014,  [Very Positive- Very Positive],256290,  [RPG- Fantasy- Female Protagonist- Great Soundtrack- Turn-Based- Platformer- Adventure- 2D- Atmospheric- Story Rich- Hand-drawn- Local Co-Op- Singleplayer- Side Scroller- Cute- Turn-Based Strategy- Indie- Casual- Action- Metroidvania]
US$14.99 ,0,0,  Jul 17  2009,  [Positive],36150,  [Casual- Western]
Free to Play,0,0,  Apr 28  2015,  [Very Positive- Very Positive],360870,  [Free to Play- Casual- Multiplayer- Strategy- Family Friendly- Singleplayer- Competitive- Indie- Massively Multiplayer]
US$9.99 ,0,0,  Apr 2  2009,  [Mixed],18700,  [Platformer- Indie- Puzzle- Casual- 2D- Singleplayer- Experimental]
US$9.99 ,0,0,  Feb 26  2013,  [Mixed],226780,  [Racing- Sports]
US$0.99 ,0,US$3.31 ,  Sep 18  2015,  [Very Positive- Very Positive],398710,  [Casual- Action- Indie- Multiplayer- Pixel Graphics- Singleplayer- Arcade- 2D- Difficult- Local Multiplayer]
US$9.99 ,0,US$83.92 ,  Apr 6  2016,  [],459290,  [Strategy- RPG]
US$4.99 ,0,0,  Nov 26  2015,  [Mostly Negative],364710,  [Indie- Action- Singleplayer- Shooter- Third-Person Shooter- Local Co-Op- Funny- Twin Stick Shooter- Local Multiplayer]
Free,0,0,  Aug 24  2016,  [Mostly Positive],517550,  [Indie- Casual- Simulation- Strategy- Adventure- VR]
US$0.99 ,0,US$7.91 ,  Jul 11  2014,  [],313932,  [RPG- Indie]
US$14.99 ,US$60.96 ,US$48.41 ,  Oct 21  2013,  [Very Positive- Very Positive],252630,  [Rogue-like- Indie- Lovecraftian- First-Person- Action- Adventure- Rogue-lite- Singleplayer- Horror- RPG- FPS- Stealth- Female Protagonist- Procedural Generation- Exploration- Pixel Graphics- Atmospheric- Perma Death- Voxel- Casual]
US$2.99 ,0,0,  Apr 4  2016,  [Very Positive- Very Positive],429830,  [Action- Simulation- Indie- VR]
US$4.99 ,0,0,  Oct 30  2001,  [Mixed],343000,  [Adventure- Point & Click- Memes]
US$0.99 ,0,US$7.91 ,  Jul 11  2014,  [],313930,  [RPG- Indie]
US$9.99 ,US$39.96 ,US$23.06 ,  Jul 24  2013,  [Very Positive],284790,  [Adventure- Hidden Object- Casual- Puzzle- Female Protagonist- Point & Click- Singleplayer- Pirates]
