appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
626680,Kreedz Climbing,ObsessionSoft,ObsessionSoft,39,472,144,76,189542,13535,97804,9724,1769,1307,75,84,25,97,0
228760,TrackMania Canyon,Nadeo,Ubisoft,51,999,215,80,187521,13463,121307,10829,4044,1977,752,127,220,79,1999
362610,High On Racing,SilentFuture,SilentFuture,,110,137,0,187773,13472,130658,11239,756,1046,334,137,332,137,499
329460,JumpJet Rex,TreeFortress Games,TreeFortress Games,78,375,36,96,180697,13216,27041,5113,0,0,145,0,29,0,499
394690,Tower Unite,PixelTail Games,PixelTail Games,59,3950,657,85,173621,12955,125098,10997,13647,3632,1334,164,505,64,1499
660880,b,u&i,u&i,71,2359,286,89,171852,12889,94266,9546,758,856,1973,5831,2,5831,0
289760,ROCKETSROCKETSROCKETS,"Radial Games Corp, Loren Bednar, Dr. Kimberly Voll, Lindsay Jorgensen",Radial Games Corp,47,428,107,85,187268,13454,52819,7146,1537,1504,181,190,38,282,699
243450,Urban Trial Freestyle,Tate Multimedia,Tate Multimedia,49,1155,266,83,174632,12992,103869,10021,1153,1302,177,40,82,66,699
300380,Road Redemption,"Pixel Dash Studios, EQgames",,57,3570,654,83,170083,12822,115494,10566,3538,1849,334,121,120,30,1399
380020,Three Heroes,Cats Who Play,Cats Who Play,29,568,234,71,164523,12611,94771,9572,1921,1682,233,58,245,90,499
537340,Guts and Glory,HakJak Productions,tinyBuild,51,712,155,82,150370,12056,68488,8137,3033,1712,155,42,57,52,999
473770,BallisticNG,Neognosis,Neognosis,68,826,105,92,178928,13151,77839,8675,738,1445,70,30,7,30,499
287260,Toybox Turbos,Codemasters,Codemasters,57,773,142,86,174379,12983,68993,8167,2306,1842,199,54,114,94,1499
262690,Little Racers STREET,Milkstone Studios,Milkstone Studios,54,661,134,83,161743,12504,67730,8092,769,1063,194,190,131,190,599
40990,Mafia,Illusion Softworks,2K,82,1035,78,92,153656,12187,68741,8152,4296,2038,491,539,195,547,1499
505170,Carmageddon: Max Damage,Stainless Games Ltd,Stainless Games Ltd,43,1075,303,77,151887,12117,45237,6613,2306,1842,324,518,154,191,1699
365310,Organ Biker,Screeching Wizard,Screeching Wizard,10,33,30,50,153656,12187,117516,10658,0,0,222,0,211,0,99
320140,Absolute Drift,"Funselektor Labs Inc., FlippFly",Funselektor Labs Inc.,68,1528,205,90,152139,12127,89464,9300,4044,1977,196,23,107,24,899
732430,Superflight,GrizzlyGames,GrizzlyGames,97,3387,101,97,157194,12327,104627,10057,16680,4016,113,40,47,18,299
585000,Formula E powered by Virtually Live,Virtually Live,Virtually Live,2,16,33,32,169577,12803,42457,6407,763,1494,14,172,8,172,0
509240,Lethal Brutal Racing,Petrodiy-Games,Atriagames,17,201,128,59,152392,12137,75059,8518,1921,1682,187,154,207,240,599
412880,Drift Streets Japan,JDM4iK,JDM4iK,24,1797,851,67,152139,12127,70004,8227,2780,1639,520,153,195,49,499
44680,RACE Injection,SimBin Studios AB,"RaceRoom Entertainment AG, SimBin",,11,1,0,154667,12227,34623,5786,750,1038,7,1,1,1,1299
203680,F1 RACE STARS,Codemasters Birmingham,Codemasters,39,598,184,78,156436,12297,65203,7940,2022,1398,229,33,66,35,1499
394540,Spaceport Hope,team BitClub,"team BitClub , Sunken Treasure Games",43,321,87,78,150623,12066,85926,9114,14152,3699,297,262,209,272,199
586130,Survival Driver,"Tero Lunkka, Mikko Seppälä",Tero Lunkka,,10,18,0,142536,11738,102606,9959,763,1494,224,276,210,276,199
7200,Trackmania United Forever Star Edition,Nadeo,Ubisoft,92,863,41,95,147843,11955,86431,9141,4044,1977,5922,561,538,293,2999
565860,Tomato Way,VladCastillo,VladCastillo,39,147,44,76,145316,11852,109429,10285,1921,1682,224,257,211,264,399
520860,Impulse of War,Dmitry Medvedev,Dmitry Medvedev,23,265,134,66,153656,12187,87442,9194,1526,2113,57,14,14,17,0
610780,Crazy Buggy Racing,VGstudio,VGstudio,,14,41,0,138240,11560,98057,9736,769,1063,226,65,211,65,49
233610,Distance,Refract,Refract,89,3226,197,93,132932,11336,92244,9443,2022,1398,303,115,122,166,1999
