appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,owners_variance,players_forever,players_forever_variance,players_2weeks,players_2weeks_variance,average_forever,average_2weeks,median_forever,median_2weeks,price
656480,Hidden Animals: English - Spanish,Progorion,Progorion,,9,1,0,993,971,740,1449,0,0,310,0,310,0,99
511830,"VR Ultimate Paintball: Heartbreak, Regret & Paintbots",Robert Potter,Robert Potter,,5,4,0,725,1420,725,1420,0,0,38,0,38,0,499
625780,Magic Wand,thecatamites,harmony corp,86,29,2,92,993,971,745,841,0,0,37,0,37,0,399
504700,Blockships,Dr Davient,Dr Davient,92,23,1,93,1121,1266,770,1508,0,0,1,0,1,0,699
390070,Estetiikka,Jukka Koivisto,Hot Habanero Games,,1,1,0,725,1420,0,0,0,0,0,0,0,0,299
499910,SHINRAI - Broken Beyond Despair,Gosatsu Visual Novels,Gosatsu Visual Novels,100,39,0,100,725,1420,725,1420,0,0,82,0,82,0,1049
521420,Bunka no Kenkyu - Revival of Queen Leyak -,BnK Team,DEVGRU-P,,7,2,0,725,1420,0,0,0,0,0,0,0,0,999
668300,Chinese Souls-Hua Garden/,Dawei Liu,Dawei Liu,11,17,15,53,725,1420,725,1420,0,0,17,0,17,0,599
623540,Late For Work,Salmi Games,Salmi Games,100,26,0,100,1832,1603,1832,1603,740,1449,20,14,16,14,1499
520150,A Midsummer Night's Choice,Choice of Games,Choice of Games,74,19,2,90,993,971,1132,1279,0,0,239,0,287,0,699
391950,Audials Tunebite 12,Audials AG,TopWare Interactive AG,,3,1,0,725,1420,725,1420,0,0,990,0,990,0,2499
664120,Wildlife Park Gold Reloaded,b-alive gmbh,b-alive gmbh,,2,5,0,725,1420,725,1420,0,0,4,0,4,0,999
250070,TorqueL,"Nanmo (Takayuki Yanagihara) @ FullPowerSideAttack.com, sanodg (Nobuyoshi Sano)",FullPowerSideAttack.com,,12,3,0,993,971,745,841,0,0,28,0,28,0,999
681490,dontbegrey,Evgeny Petrov,Not a Prototype games,,10,0,0,1121,1266,0,0,0,0,0,0,0,0,499
526600,BoxMaker,"Silver Moon Internet, 银月网络","Silver Moon Internet, 银月网络",29,31,13,69,725,1420,0,0,0,0,0,0,0,0,399
642650,Pepper's Puzzles,Emad,Emad,95,28,1,100,2564,1897,2198,1756,0,0,521,0,510,0,699
397860,Carnivore Land,dwCrew,dwCrew,,16,2,0,725,1420,725,1420,0,0,1,0,1,0,799
686490,ArkanoidSmoking,StalkerAlex..,StalkerAlex.,,3,5,0,747,1034,0,0,0,0,0,0,0,0,99
528910,Golf Pro VR,Marklar,Marklar,,2,4,0,725,1420,725,1420,0,0,22,0,22,0,1999
512260,Avalon Legends Solitaire 2,Anawiki Games,Anawiki Games,74,20,2,90,1738,1284,2960,2899,1480,2050,6743,3872,1306,7690,999
679620,Rollercoaster Xperience,Xperiencia Virtual,Xperiencia Virtual,18,10,6,58,1738,1284,1241,1085,0,0,14,0,15,0,299
625680,Way of the Passive Fist,Household Games Inc.,Household Games Inc.,95,26,1,100,725,1420,0,0,0,0,0,0,0,0,1499
538700,TURGUL: RAPID FIGHTING,dynamicsoulworks,OtakuMaker.com,,0,2,0,745,841,745,841,0,0,139,0,139,0,499
691580,"Maggie's Movies - Camera, Action!",World-Loom,GameHouse,,5,2,0,1099,1241,740,1449,0,0,3963,0,3963,0,1299
548360,VR RunningJoe,ELIOT,ELIOT,37,9,3,75,747,1034,747,1034,0,0,13,0,13,0,499
332370,Miko Gakkou Monogatari: Kaede Episode,xinoro,xinoro,,8,1,0,733,1014,740,1449,0,0,629,0,629,0,899
713590,Hidden Object - Food,Boogygames Studios,Boogygames Studios,,1,2,0,1121,1266,747,1034,0,0,12,0,12,0,199
423022,UWT - 2. 3DS Max Modeling - Chapter 2.3,,,,0,0,0,745,841,0,0,0,0,0,0,0,0,
423038,UWT - 2. 3DS Max Modeling - Chapter 5.4,,,,0,0,0,745,841,0,0,0,0,0,0,0,0,
523180,Doritos VR Battle,Capitola VR,Capitola VR,26,11,5,73,1241,1085,0,0,0,0,0,0,0,0,299
423054,UWT - 3. 3DS Max Unwrap - Chapter 4.1,,,,0,0,0,745,841,0,0,0,0,0,0,0,0,
423070,UWT - 4. S.P. Texturing - Chapter 2.4,,,,0,0,0,745,841,0,0,0,0,0,0,0,0,
676620,Robots: create AI,xuan,xuan,,7,2,0,733,1014,733,1014,740,1449,6,1,6,1,99
555070,Overload November 2016 Demo,,,,0,0,0,725,1420,725,1420,0,0,13,0,13,0,
718490,LOGistICAL: Japan,Sacada,Sacada,,0,1,0,725,1420,0,0,0,0,0,0,0,0,899
551740,Depression,,,0,1,5,20,747,1034,0,0,0,0,0,0,0,0,399
717450,Nimble Bunn,Brzezinski,SIFAKA DIGITAL,97,47,1,97,1986,1373,993,971,770,1508,13,1,15,1,99
707410,Marvelous Designer 7 For Steam,CLO Virtual Fashion,CLO Virtual Fashion,,5,1,0,733,1014,733,1014,725,1420,2382,62,2382,62,32000
355490,Stratus: Battle For The Sky,"Storm Isle Productions, Longshot Studios LLC, Polywickstudio",Storm Isle Productions,65,21,3,82,725,1420,725,1420,0,0,18,0,18,0,1599
624990,The Mimic,Silhouette Wolf,Silhouette Wolf,,8,0,0,725,1420,0,0,0,0,0,0,0,0,999
705210,Cube Racer,Simon Blasen,Simon Blasen,,5,1,0,745,841,745,841,725,1420,474,36,474,36,499
561690,Emission VR,VRSpec Team,VRSpec Team,,2,4,0,745,841,725,1420,0,0,1,0,1,0,9999
726580,Game Machines: Arcade Casino,Crabby Team,Crabby Team,47,12,3,75,993,971,993,971,0,0,21,0,22,0,199
709140,A Dream For Aaron,Vidas Salavejus,Vidas Salavejus,,11,0,0,993,971,0,0,0,0,0,0,0,0,799
544220,Damage: Sadistic Butchering of Humanity,Suomi-Peli,Suomi-Peli,,5,8,0,1490,1189,770,1508,0,0,152,0,152,0,420
400880,Ultimate Rock Crawler,khos85,khos85,1,6,19,15,1738,1284,1241,1085,0,0,39,0,42,0,499
630630,Apex,"Arjan van Meerten, House of Secrets","Wevr, Inc",89,17,1,94,747,1034,747,1034,0,0,9,0,9,0,299
725960,Ballistic Mini Golf,Microlith Games,Microlith Games,7,20,22,45,1738,1284,1490,1189,755,1044,51,38,66,38,499
568020,Blind Love,Michaela Laws,Michaela Laws,100,41,0,100,1490,1189,1132,1279,0,0,26,0,31,0,99
726460,Choice of Broadsides,Choice of Games,Choice of Games,,3,2,0,725,1420,725,1420,0,0,6,0,6,0,399
709470,Mirrors,Monocool Interactive,Monocool Interactive,,4,0,0,1121,1266,770,1508,770,1508,14,14,14,14,399
727020,Arcade Moonlander,Daniel Griffin,Back Of Nowhere Studios,,5,0,0,725,1420,725,1420,0,0,3,0,3,0,149
682810,GUTS,Flux Game Studio,Libredia,,22,2,0,993,971,755,1044,0,0,19,0,19,0,1999
526130,Sky Sanctuary,Glitchr Studio,Glitchr Studio,100,22,0,100,993,971,1121,1266,0,0,51,0,65,0,1299
740120,BATTLE RAP SIMULATOR,Limed,Limed,21,34,19,63,1241,1085,745,841,0,0,43,0,43,0,99
434140,New Outbreak,"0Bennyman, srslyCASUAL",LootBit,,1,1,0,725,1420,725,1420,0,0,3,0,3,0,999
437510,Ben 10 Game Generator 5D,,,,0,0,0,1738,1284,1241,1085,0,0,215,0,234,0,
560930,Marimba VR,Ruby Games,Ruby Games,,0,1,0,745,841,745,841,0,0,5,0,5,0,199
662780,Crystal Reign,Virtual World Arcade,Virtual World Arcade,,8,0,0,747,1034,0,0,0,0,0,0,0,0,499
726200,Hostil,Eteru Studio,Eteru Studio,54,26,5,80,745,841,740,1449,0,0,22,0,22,0,299
582210,VRemin (A Virtual Theremin),hOSHI,hOSHI,68,15,2,88,1241,1085,993,971,0,0,24,0,45,0,99
593700,Tower Fortress,"Keybol, Nitrome Limited, Mike Studios",Nitrome Limited,82,36,3,90,1099,1241,733,1014,0,0,20,0,20,0,499
724070,Keyboard Engine,David Ko,PIXIMAP,43,26,7,81,747,1034,747,1034,0,0,3779,0,3779,0,399
290510,GNOG,KO_OP,Double Fine Presents,,0,0,0,725,1420,725,1420,725,1420,101,24,101,24,0
368150,Rising Angels: Hope,IDHAS Studios,Sekai Project,47,17,4,85,993,971,740,1449,0,0,26,0,26,0,1499
575800,Arizona Rose and the Pharaohs' Riddles,Anawiki Games,Anawiki Games,,4,3,0,745,841,725,1420,0,0,577,0,577,0,999
565410,World of Darkness Preludes: Vampire and Mage,"White Wolf Entertainment, Fula Fisken",White Wolf Entertainment,16,87,56,61,2483,1535,2265,1809,740,1449,211,21,297,21,999
592390,Radline: Quarantine,Elbaite,Elbaite,15,55,38,58,1986,1373,1490,1189,0,0,122,0,220,0,999
764560,Chocolate makes you happy 2,Blender Games,Blender Games,,2,3,0,1121,1266,0,0,0,0,0,0,0,0,99
460140,Midnight at the Celestial Palace: Chapter I,"Orrery Games, Blip Haus Design",Orrery Games,100,14,0,100,725,1420,725,1420,0,0,207,0,207,0,999
343430,Hypnosis,Nevosoft,Nevosoft,47,16,4,82,747,1034,747,1034,0,0,230,0,230,0,499
456740,Doctor Kvorak's Obliteration Game,Freekstorm,Freekstorm,,13,1,0,1121,1266,770,1508,0,0,63,0,63,0,1999
467710,Battle of the Bands,Dharker Studio,Dharker Studio,,0,0,0,747,1034,0,0,0,0,0,0,0,0,0
432480,Grenade Madness,Touch Orchestra,Touch Orchestra,,20,2,0,733,1014,725,1420,0,0,146,0,146,0,999
765320,Planetarium 2 - Zen Odyssey,Ghulam Jewel,Ghulam Jewel,,4,1,0,1241,1085,993,971,0,0,52,0,64,0,299
25730,Madballs in...Babo: Invasion Dev,,,,0,0,0,725,1420,725,1420,0,0,6,0,6,0,0
588750,King Of Dirt,WildLabs,WildLabs,10,10,9,55,1099,1241,1099,1241,0,0,72,0,75,0,599
747320,Bravium,INGAME,INGAME,92,20,1,93,1494,1462,1121,1266,0,0,969,0,1644,0,999
764590,Shadow of Loot Box,Stately Snail,Stately Snail,45,19,5,72,725,1420,0,0,0,0,0,0,0,0,499
561120,Disney's The Lion King,Westwood Studios,Disney Interactive,16,17,11,57,1738,1284,1241,1085,0,0,57,0,95,0,999
13120,America's Army 3 Beta,,,,0,0,0,733,1014,733,1014,0,0,5532,0,5532,0,0
642580,Cally's Caves 4,VDO Games,VDO Games,78,34,3,93,745,841,747,1034,0,0,358,0,358,0,999
